model	tp	batch	input_len	fp16	romeo	speedup
Qwen3-14B	2	8	128	6449.2000	4021.8500	0.6236
Qwen3-14B	2	16	128	6840.7900	8060.0500	1.1782
Qwen3-14B	2	32	128	6781.7400	9148.4900	1.3490
Qwen3-14B	2	64	128	6848.0200	9064.1400	1.3236
Qwen3-32B	4	8	128	4425.4000	2581.7600	0.5834
Qwen3-32B	4	16	128	4451.4700	5210.7500	1.1706
Qwen3-32B	4	32	128	4561.7300	5598.8600	1.2274
Qwen3-32B	4	64	128	4537.3200	5473.9900	1.2064
Qwen3-8B	1	8	128	10233.0700	5213.3500	0.5095
Qwen3-8B	1	16	128	10664.6400	10282.5200	0.9642
Qwen3-8B	1	32	128	10745.8300	19815.8600	1.8441
Qwen3-8B	1	64	128	10545.1300	20073.6000	1.9036
